中文表名,英文表名,schema,业务域分类,来源系统候选,是否最上游源表,目录分类,数仓层线索,负责人,行数,更新时间,产出任务,被路径任务读取,路径示例
ODS_抖音综合表,ODS_DOUYINZONGHEBIAO,cubeappdata,抖音主题,库表迁移,是,源表,不规范命名,包彦,1428.0,2026-07-07 08:58:39,"ODS_抖音综合表【迁移】(mJ44GUeDiF, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> mJ44GUeDiF
ODS_抖音乘方推广花费表_填报,ODS_douyinchengfangtuiguanghuafei,cubeappdata,抖音主题,库表迁移,是,源表,不规范命名,包彦,64.0,2026-04-22 11:31:24,"ODS_抖音乘方推广花费表【迁移】(OgqA3SQ6bT, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> sX484NOPO3
ODS_抖音乘方计划id_链接id_映射_RPA,ODS_jihuaidduiyingshangpinid,dev,抖音主题,影刀/RPA,是,源表,不规范命名,包彦,0.0,2026-05-29 17:22:42,"ODS_抖音乘方计划id对应链接id表【迁移】(1beUE64XNH, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> sX484NOPO3
ODS_抖音_部门每日人力成本_填报,UD_4971200913022541_BN8N5_dyrlcbtbxs1,cubeappdata,抖音主题,钉盘/Excel填报,是,源表,不规范命名,包彦,3.0,2026-07-18 00:15:05,"抖音人力成本填报.xlsx【钉盘接入】(9OsVTMiWWO, 钉盘接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_抖音_佑美运动户外_直播加热推广_填报,UD_5179579576634064_FTRED_dyzbjrtgymyd,dev,抖音主题,钉盘/Excel填报,是,源表,不规范命名,包彦,0.0,2026-05-29 16:48:19,"抖音直播加热推广-佑美运动户外【EXCEL】(lWKYjw3RvZ, excel更新)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> 0C42m71eLb
ODS_抖音综合表_填报,UD_5179579576634064_XDLII_dyzhbxs1,cubeappdata,抖音主题,钉盘/Excel填报,是,源表,不规范命名,李梦丽,1745.0,2026-07-18 11:00:07,"抖音综合表.xlsx【钉盘接入】(LkqMfbyv8e, 钉盘接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> nuSN8563RV -> LkqMfbyv8e
ODS_抖音_推广消耗流量表_RPA,doutuiguangliuliangshuju,dev,抖音主题,影刀/RPA,是,源表,不规范命名,包彦,0.0,2026-05-29 15:13:23,"抖音-推广消耗、流量表【迁移】(jowXVWAEml, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> wHcpHrnPGx -> Xj4AfORj0h
ODS_抖音_运费险账单数据_RPA,douyinyunfeixian,dev,抖音主题,影刀/RPA,是,源表,不规范命名,包彦,0.0,2026-06-25 10:27:07,"抖音-运费险账单数据【迁移】(sXAhYSBWoO, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
运费账单明细（抖音财务对账后）,freight_bill_detail,bi_datalake,抖音主题,库表迁移,是,源表,不规范命名,蒋秀坤,1809221.0,2026-07-18 02:03:37,"运费账单明细【迁移】(l9uogrfUWR, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
运费账单问题件及冲回扣减明细（抖音财务对账后）,freight_bill_exception,cubeappdata,抖音主题,库表迁移,是,源表,不规范命名,蒋秀坤,,,"运费账单问题件及冲回扣减明细【迁移】(Uxqy2oelFp, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
