中文表名,英文表名,schema,业务域分类,来源系统候选,是否最上游源表,目录分类,判断原因,数仓层线索,负责人,行数,更新时间,产出任务,被路径任务读取,路径示例
ODS_抖音综合表,ODS_DOUYINZONGHEBIAO,cubeappdata,抖音主题,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,1428.0,2026-07-07 08:58:39,"ODS_抖音综合表【迁移】(mJ44GUeDiF, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> mJ44GUeDiF
ODS_抖音乘方推广花费表_填报,ODS_douyinchengfangtuiguanghuafei,cubeappdata,抖音主题,填报,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,64.0,2026-04-22 11:31:24,"ODS_抖音乘方推广花费表【迁移】(OgqA3SQ6bT, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> sX484NOPO3
抖音综合表.xlsx-Sheet2,UD_5179579576634064_VMPYM_dyzhbxs2,cubeappdata,抖音主题,钉盘/Excel填报,是,源表,产出任务类型为接入/迁移类：钉盘接入,不规范命名,李梦丽,1359.0,2026-07-18 11:00:07,"抖音综合表.xlsx【钉盘接入】(LkqMfbyv8e, 钉盘接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> nuSN8563RV -> LkqMfbyv8e
ODS_抖音_运费险账单数据_RPA,douyinyunfeixian,cubeappdata,抖音主题,影刀/RPA,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,1420921.0,2026-07-18 18:04:23,"抖音-运费险账单数据【迁移】(sXAhYSBWoO, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
运费账单明细（抖音财务对账后）,freight_bill_detail,bi_datalake,抖音主题,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,蒋秀坤,1809221.0,2026-07-18 02:03:37,"运费账单明细【迁移】(l9uogrfUWR, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
运费账单问题件及冲回扣减明细（抖音财务对账后）,freight_bill_exception,cubeappdata,抖音主题,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,蒋秀坤,,,"运费账单问题件及冲回扣减明细【迁移】(Uxqy2oelFp, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
货品型号始发地,huopinxinghaoshifadi,cubeappdata,公共维表/成本/组织,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,1570.0,2026-04-13 17:08:09,"货品型号始发地【迁移】(wB80eUhvdf, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_全域推广报告信息表(巨量千川API)_旧,ods_api_jlqc_uni_promition_report_info_du_old,cubeappdata,抖音主题,巨量千川/投放,是,源表,产出任务类型为接入/迁移类：连接器接入,ods,包彦,16588.0,2026-07-18 10:02:03,"ODS_全域推广报告信息表(巨量千川API)【连接器】(MegrZkwZoP, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> 0C42m71eLb
ODS_商品历史成本价信息表(聚水潭标准API),ods_api_jstbz_product_history_cost_price_info_f,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,尾部为 _f，全量表；按要求作为源表候选,ods,管理员,245.0,2026-07-18 02:24:54,"ods_api_jstbz_product_history_cost_price_info_f【EtlDevelop任务】(0ccP8y2dQJ, etl开发任务)",ods_api_jstbz_product_history_cost_price_info_f【EtlDevelop任务】(0ccP8y2dQJ),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_商品SKU信息表(聚水潭标准API),ods_api_jstbz_product_sku_info_f,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,尾部为 _f，全量表；按要求作为源表候选,ods,管理员,49615.0,2026-07-18 02:30:23,"ods_api_jstbz_product_sku_info_f【EtlDevelop任务】(4v6XI21730, etl开发任务)",ods_api_jstbz_product_sku_info_f【EtlDevelop任务】(4v6XI21730),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> 994SOzLTQV -> 5aMpRAhBmy -> M8qi0iwCWh -> pmMzApalZx -> N4uyZn2Brb
ODS_销售订单归档信息表(聚水潭奇门API),ods_api_jstqm_archive_sale_order_info_f,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,尾部为 _f，全量表；按要求作为源表候选,ods,管理员,32511821.0,2026-05-06 19:01:51,"ods_api_jstqm_archive_sale_order_info_f【EtlDevelop任务】(RCAvJGRCIk, etl开发任务)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_销售订单信息表(聚水潭奇门API),ods_api_jstqm_sale_order_info_f,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,尾部为 _f，全量表；按要求作为源表候选,ods,管理员,23651665.0,2026-07-18 03:25:19,"ods_api_jstqm_sale_order_info_f【EtlDevelop任务】(9hARYiuSyx, etl开发任务)",ods_api_jstqm_sale_order_info_f【EtlDevelop任务】(9hARYiuSyx),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_抖音_直播间主链接映射_填报,ods_douyin_live_room_main_link_detail_entry,cubeappdata,抖音主题,填报,是,源表,产出任务类型为接入/迁移类：在线表格接入,ods,包彦,20.0,2026-07-18 05:00:09,"直播链接（钉钉表格）【在线表格接入】(pUeSXt1NWn, 在线表格接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ -> qBO2jNZBhK -> K1gH9SHZT5 -> pUeSXt1NWn
ODS_抖音好评数据_填报,ods_dyhaopingshuju,cubeappdata,抖音主题,填报,是,源表,产出任务类型为接入/迁移类：库表迁移,ods,包彦,1789.0,2025-11-14 19:32:13,"ods_抖音好评数据【迁移】(Z3M1lFdITy, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
